query,type,score,passed,n_metrics,n_passed,error
Xeon_network_consumption,aggregate,0.5,True,4,2,
avg_platform_power_c0_freq_temp_by_chassis,aggregate,0.0,False,6,0,
battery_on_duration_cpu_family_gen,aggregate,0.3333333333333333,False,3,1,
battery_power_on_geographic_summary,aggregate,0.25,False,4,1,
most_popular_browser_in_each_country_by_system_count,ranking_categorical,0.0,False,1,0,
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,aggregate,0.8181818181818182,True,11,9,
persona_web_cat_usage_analysis,aggregate,0.16129032258064516,False,31,5,
pkg_power_by_country,aggregate,0.0,False,3,0,
popular_browsers_by_count_usage_percentage,distribution,0.0,False,3,0,
ram_utilization_histogram,histogram,1.0,True,2,2,
