method,query_type,mean,median,count
mst,aggregate,2342.3039564588153,12.941130093477485,64
mst,distribution,44.12025851723767,26.79351600861597,4
mst,histogram,91.65708739839248,91.65708739839248,1
mst,ranking_categorical,2.9999999999999942,2.9999999999999942,1
mst,ranking_numeric,2.310977148823231,1.0461254942656242,8
mst,row_level,34.24019764691248,13.229923189181982,7
pe_conditional,aggregate,8.979053722634106,3.6878880189308356,54
pe_conditional,distribution,112.80223051357736,103.13267248192417,3
pe_conditional,histogram,1.525131168839441,1.525131168839441,2
pe_conditional,ranking_categorical,42.99999999999991,42.99999999999991,1
pertable,aggregate,8.630712751502152,2.3711127137127983,62
pertable,distribution,79.28936679665333,56.271905619363935,4
pertable,histogram,32.81099938138955,32.81099938138955,2
pertable,ranking_categorical,3.9999999999999942,3.9999999999999942,1
pertable,ranking_numeric,11.421246691002748,1.0360415809343186,9
pertable,row_level,28.25985132642658,4.061575364408838,7
widetable,aggregate,623.9390118833089,15.336084656084664,45
widetable,distribution,115.26822255162453,125.78316120217464,3
widetable,histogram,30.166053003821997,30.166053003821997,2
widetable,ranking_categorical,8.999999999999982,8.999999999999982,1
