vendor_name,number_of_systems,total_number_of_systems,percentage_of_systems
Samsung,20437,209239,9.77
Hisense,1091,209239,0.52
Other,200089,209239,95.63
HP,16576,209239,7.92
Dell,26463,209239,12.65
MI ,2305,209239,1.1
Sansui,4,209239,0.0
LG,27528,209239,13.16
Acer,4774,209239,2.28
VIZIO,5,209239,0.0
Philips,2797,209239,1.34
Lenovo,24,209239,0.01
Asus,6366,209239,3.04
MSI,2260,209239,1.08
BenQ,8194,209239,3.92
TCL,384,209239,0.18
AOC,177,209239,0.08
Sony,6939,209239,3.32
Viewsonic,349,209239,0.17
Redmi,218,209239,0.1
Oneplus,22,209239,0.01
