marketcodename,cpugen,number_of_systems,avg_on_time,avg_off_time,avg_modern_sleep_time,avg_sleep_time,avg_total_time,avg_pcnt_on_time,avg_pcnt_off_time,avg_pcnt_mods_time,avg_pcnt_sleep_time
Coffee Lake,9th Gen i5,2621,33944.22,19165.14,360.98,30203.97,83674.31,40.57,22.9,0.43,36.1
Coffee Lake,9th Gen i9,633,37934.87,18591.35,176.49,27122.69,83825.41,45.25,22.18,0.21,32.36
Comet Lake,10th Gen i5,4987,31850.55,17272.15,4185.52,30252.51,83560.73,38.12,20.67,5.01,36.2
Coffee Lake,9th Gen i3,417,39226.92,14917.44,0.0,29493.41,83637.77,46.9,17.84,0.0,35.26
Alder Lake,12th Gen i9,211,35335.63,21215.26,2748.38,25882.67,85181.94,41.48,24.91,3.23,30.39
Ice Lake,10th Gen i3,705,24247.18,15464.69,1443.04,41653.7,82808.62,29.28,18.68,1.74,50.3
Rocket Lake,11th Gen i7,575,37157.87,17215.72,43.23,30784.23,85201.05,43.61,20.21,0.05,36.13
Comet Lake,10th Gen i9,461,35971.25,19390.95,1403.62,27218.83,83984.65,42.83,23.09,1.67,32.41
Comet Lake,10th Gen i3,1402,33658.25,17590.05,3487.25,28887.29,83622.83,40.25,21.03,4.17,34.54
Rocket Lake,11th Gen i5,883,33246.21,18395.51,129.88,33387.02,85158.62,39.04,21.6,0.15,39.21
Gemini Lake Refresh,Pentium/Celeron-Gemini Lake Refresh,380,32312.86,12593.55,0.0,39833.33,84739.74,38.13,14.86,0.0,47.01
Tiger Lake,11th Gen i3,923,23280.19,12160.88,13488.45,35834.2,84763.73,27.46,14.35,15.91,42.28
Ice Lake,10th Gen i5,1564,24839.57,11540.55,5542.85,40888.5,82811.46,30.0,13.94,6.69,49.38
Coffee Lake,9th Gen i7,2578,34723.98,16007.15,985.23,31873.06,83589.42,41.54,19.15,1.18,38.13
Ice Lake,10th Gen i7,851,25177.73,9985.05,11877.19,36025.98,83065.95,30.31,12.02,14.3,43.37
Comet Lake,10th Gen i7,3825,32389.11,14285.52,5477.56,31442.54,83594.72,38.75,17.09,6.55,37.61
Tiger Lake,11th Gen i5,3930,24409.02,14188.6,13720.99,32582.48,84901.09,28.75,16.71,16.16,38.38
Coffee Lake,Pentium/Celeron-Coffee Lake,293,35590.71,16955.99,0.0,32478.97,85025.67,41.86,19.94,0.0,38.2
Comet Lake,Pentium/Celeron-Comet Lake,221,29452.65,16883.47,29.42,38698.33,85063.87,34.62,19.85,0.03,45.49
Jasper Lake,Pentium/Celeron-Jasper Lake,108,33267.54,13598.6,38.77,37764.17,84669.09,39.29,16.06,0.05,44.6
Rocket Lake,11th Gen i9,148,35156.12,23373.08,64.95,26575.77,85169.92,41.28,27.44,0.08,31.2
Whiskey Lake,Pentium/Celeron-Whiskey Lake,108,24805.6,7734.25,135.57,51895.62,84571.04,29.33,9.15,0.16,61.36
Unknown,Unknown,3686,31125.42,17558.41,1220.56,35207.32,85111.72,36.57,20.63,1.43,41.37
Tiger Lake,11th Gen i7,3081,25993.69,11989.01,14263.25,32691.5,84937.45,30.6,14.12,16.79,38.49
Alder Lake,12th Gen i5,735,32325.58,23295.53,770.61,28840.18,85231.9,37.93,27.33,0.9,33.84
Coffee Lake,Xeon,107,52964.51,13096.6,200.08,18772.14,85033.33,62.29,15.4,0.24,22.08
Alder Lake,12th Gen i7,585,34816.36,20910.6,2199.76,27258.94,85185.66,40.87,24.55,2.58,32.0
