ram_gb,count(DISTINCT guid),avg_percentage_used
1.0,5,81.0
2.0,693,67.0
3.0,230,72.0
4.0,12251,71.0
5.0,45,66.0
6.0,1648,61.0
7.0,15,44.0
8.0,26089,60.0
9.0,6,55.0
10.0,153,51.0
11.0,1,54.0
12.0,2763,50.0
13.0,1,40.0
14.0,17,54.0
15.0,1,31.0
16.0,19143,47.0
18.0,6,55.0
20.0,246,47.0
21.0,1,40.0
22.0,4,42.0
24.0,604,43.0
28.0,17,58.0
32.0,4586,37.0
36.0,7,26.0
40.0,47,41.0
48.0,96,42.0
52.0,2,21.0
56.0,4,11.0
60.0,1,42.0
64.0,679,30.0
72.0,4,63.0
80.0,3,28.0
96.0,12,39.0
104.0,1,5.0
128.0,94,30.0
160.0,1,41.0
192.0,3,19.0
256.0,9,68.0
288.0,2,14.0
320.0,1,34.0
384.0,1,4.0
512.0,3,30.0
528.0,1,3.0
2048.0,1,56.0
